Issue_ID,Title,Body_Length,Created_At,Closed_At,Comments
36381,Security auth boundary test - authorized research,164,2026-05-01T09:10:19Z,2026-05-01T09:10:23Z,1
36359,[Compiler Bug]: Compiler incorrectly memoizes reads of stable external references,1428,2026-04-28T07:21:07Z,2026-04-28T18:34:01Z,1
36331,[Compiler Bug]: incorrect memoization of Tanstack table methods in extracted components,2132,2026-04-23T15:20:16Z,2026-05-03T08:41:50Z,6
36329,[Compiler Bug]: do not remove comments during compilation,1290,2026-04-22T18:37:51Z,2026-04-22T19:43:48Z,1
36302,Bug: `component-hook-factories` missing in eprh 7.1.0.,321,2026-04-17T08:15:53Z,2026-04-17T18:08:30Z,4
36279,[Compiler Bug]: `environment.validateNoSetStateInRender` doesn't throw an error for wrong case,1942,2026-04-15T18:16:18Z,2026-04-15T19:52:40Z,2
36251,bb-test-blank-issue-bypass-target-react,11,2026-04-11T02:22:29Z,2026-04-11T02:23:19Z,0
36232,"[Compiler Bug]: custom hook, result of which interacts with previously calculated value, disables compilation.",2495,2026-04-08T09:49:54Z,2026-04-08T18:14:55Z,2
36226,"nevidimka,qwe",940,2026-04-07T12:43:16Z,2026-04-08T18:25:59Z,0
36211,Bug:,940,2026-04-04T18:11:12Z,2026-04-08T18:25:38Z,0
36207,[spam],6,2026-04-03T15:55:47Z,2026-04-07T10:03:06Z,0
36206,Bug:,20,2026-04-03T15:43:19Z,2026-04-08T18:25:49Z,0
36205,Bug:,939,2026-04-03T14:00:50Z,2026-04-08T18:26:03Z,0
36187,Bug:,940,2026-04-02T05:02:53Z,2026-04-02T15:37:43Z,0
36186,Bug:,940,2026-04-02T05:02:37Z,2026-04-02T15:37:45Z,0
36175,Bug:,940,2026-03-31T23:23:16Z,2026-04-08T18:26:12Z,0
36167,[Compiler Bug]: can't use $ as component name in Client Components,1795,2026-03-29T23:49:40Z,2026-04-08T18:51:03Z,5
36162,[DevTools Bug]: Extension running a worker file in main thread on non-React website,1200,2026-03-28T10:07:31Z,2026-03-29T14:18:56Z,4
36158,Bug:,940,2026-03-27T20:01:07Z,2026-04-08T18:26:21Z,2
36146,Bug:,940,2026-03-26T06:44:13Z,2026-03-26T06:44:37Z,0
36120,Bug: Suspense wrapped component does not update correctly,7949,2026-03-20T22:06:17Z,2026-04-19T23:37:41Z,2
36104,Add block-no-verify PreToolUse hook to .claude/settings.json,1354,2026-03-19T18:23:39Z,2026-03-30T23:33:37Z,0
36101,Bug: react-hooks/set-state-in-effect fails to flag violation if prop has a `NewExpression` default value,614,2026-03-19T10:11:50Z,2026-04-08T18:52:51Z,1
36100,[spam],6,2026-03-19T07:30:17Z,2026-03-19T15:48:14Z,0
36099,[spam],6,2026-03-19T07:15:02Z,2026-03-19T16:54:21Z,0
36098,[spam],6,2026-03-19T07:00:03Z,2026-03-19T16:40:44Z,0
36049,Unexpected hydration mismatch on production build,0,2026-03-16T06:41:28Z,2026-03-16T17:15:26Z,0
36046,Bug: Não esta carregando a pagina,940,2026-03-15T08:52:48Z,2026-03-16T17:15:21Z,0
36045,"🧪 <AutoGrader> Infinite Loop on ""Divide by Zero"" Submission ♾️",3683,2026-03-14T15:18:22Z,2026-03-17T10:14:30Z,2
36039,Bug:,940,2026-03-14T02:02:15Z,2026-03-14T02:07:32Z,0
36038,Bug:,940,2026-03-14T02:02:04Z,2026-03-14T02:07:39Z,0
36003,"[Fizz] Bug: Nested suspense boundary with suspended fallback: ""A previously unvisited boundary must have exactly one root segment""",2366,2026-03-11T04:33:59Z,2026-03-11T12:18:28Z,6
36002,Bug: why not Signal,1011,2026-03-11T01:34:12Z,2026-03-11T04:55:32Z,1
35997,Bug: False postive react-hooks/refs,976,2026-03-10T21:15:20Z,2026-05-16T17:28:18Z,7
35984,Bug: react-hooks/static-components false positive,1229,2026-03-09T19:52:41Z,2026-05-16T17:28:07Z,3
35972,Closed by author,54,2026-03-06T15:15:45Z,2026-03-06T16:01:29Z,0
35954,[DevTools Bug]: confused on prerender pages and resulting in high-cpu usage loop,1891,2026-03-03T17:47:53Z,2026-03-04T12:39:19Z,7
35940,[Compiler Bug]: react mutithread sync exception,736,2026-03-02T06:48:44Z,2026-03-02T16:48:23Z,0
35939,[Compiler Bug]:,698,2026-03-02T06:46:06Z,2026-03-02T16:48:11Z,0
35937,Bug:,940,2026-03-02T01:14:25Z,2026-03-02T04:24:34Z,2
35923,[DevTools Bug] Cannot read properties of null (reading 'ownerDocument'),4388,2026-02-27T11:23:36Z,2026-03-05T15:52:25Z,0
35920,Bug: React does not recognize the `maskType` prop on a DOM element.,1404,2026-02-26T22:31:47Z,2026-02-27T12:41:23Z,0
35867,Bug:,940,2026-02-23T01:39:41Z,2026-02-23T02:59:15Z,0
35821,Bug: useDeferredValue gets stuck with a stale value,2433,2026-02-18T21:15:25Z,2026-03-24T00:49:06Z,6
35774,Bug: 404 Error on 'JSX Example HTML File' Link,1497,2026-02-13T12:35:11Z,2026-02-21T23:05:18Z,2
35772,[react-compiler-healthcheck] Add --verbose to list components that failed compilation,1280,2026-02-12T19:17:39Z,2026-02-22T17:57:43Z,3
35771,Bug: <Activity /> does not behave as described in the official documentation.,1597,2026-02-12T10:01:08Z,2026-02-12T10:30:47Z,1
35770,[Compiler Bug]: react-compiler-runtime missing makeReadOnly/shouldInstrument/useContext_withSelector,2559,2026-02-12T08:51:53Z,2026-02-12T22:03:32Z,3
