Issue_ID,Title,Body,State,Created_At,Closed_At,Comments,Body_Length
36381,Security auth boundary test - authorized research,This is part of authorized security testing on the GitHub bug bounty program. Testing if non-collaborators can create issues via GraphQL. This can be safely closed.,closed,2026-05-01T09:10:19Z,2026-05-01T09:10:23Z,1,164
36359,[Compiler Bug]: Compiler incorrectly memoizes reads of stable external references,"### What kind of issue is this?

- [x] React Compiler core (the JS output is incorrect, or your app works incorrectly after optimization)
- [ ] babel-plugin-react-compiler (build issue installing or using the Babel plugin)
- [ ] eslint-plugin-react-hooks (build issue installing or using the eslint plugin)
- [ ] react-compiler-healthcheck (build issue installing or using the healthcheck script)

### Link to repro

https://playground.react.dev/#N4Igzg9grgTgxgUxALhASwLYAcIwC4AEwBUYCAogGaUJx4A0JZAyngIZ4IEC+BlMEDAQDkMBGzrCA3AB0AdvLgAbNmDAFyAEzR5cReQQIS8aAG5cAvHzZKysuYYhyAqlk0cEAfmQEAFAEoCCwA+AlMINE17Q10Ac1ilBAD9B0MCPAALNDAAOmMzSwIAQkzsvLoC6LTS3KdXd05PHICq7nk2uTgnMEIEbV0YIII5BAB3DX7cFvl5BAAPHHwCTQRKNiglQkooTpMnAgBBLCxk4AMCAHoLkVIuOQgCDAQMCGlzrrkeggBtRkpcRD1DwAXSGt1YHl8AAZ-PZzrcqDQ6L5kiEUmkCH0dLgcnU3B4hqjQv94AggZwUXIfHIoBgAEYIGCBNEOADUBAAjLDzoYxHhYA4ieiMZjJjBcS58ZwwXIVpQ0CMojyeK1GN9gdyFKk+QK-MqADzaUzBZWGfV0qB4XQOJwAYSUaDgAGsLMAhViBjk4gkkv5uCbUiKjBVzD5gKwYArYr4PTj8uY-aaCPqLharU4AxiU0bMwRNR0QPQQB95bEUCAzqkrl1sGgVHs5ABZCArHwyEA2JTt9qF8AZCCjACSck4MDkNjAKDWtgQ3CAA

### Repro steps

1. Use the react component in the playground link.
2. Click the `<button>`
3. Button state not updated
4. Add `'use no memo'` and click the `<button>`, button state correctly updated



### How often does this bug happen?

Every time

### What version of React are you using?

19.2.5

### What version of React Compiler are you using?

1.0.0",closed,2026-04-28T07:21:07Z,2026-04-28T18:34:01Z,1,1428
36331,[Compiler Bug]: incorrect memoization of Tanstack table methods in extracted components,"### What kind of issue is this?

- [x] React Compiler core (the JS output is incorrect, or your app works incorrectly after optimization)
- [ ] babel-plugin-react-compiler (build issue installing or using the Babel plugin)
- [ ] eslint-plugin-react-hooks (build issue installing or using the eslint plugin)
- [ ] react-compiler-healthcheck (build issue installing or using the healthcheck script)

### Link to repro

https://github.com/DerTimonius/react-compiler-tanstack-table-repro

### Repro steps

I stumbled across a strange bug that appears to be related to the React Compiler when extracting TanStack Table logic into a separate component that uses the Table instance.

I created a Pagination component that calls methods such as table.getCanNextPage() and table.getCanPreviousPage(), but by default it does not render correctly. The values returned by these methods do not seem to update reliably inside the JSX, which causes the pagination buttons to end up in an incorrect disabled state.

### Expected behavior
The pagination buttons should update correctly based on the current table state.

### Actual behavior
The pagination buttons remain in the wrong disabled state unless one of the workarounds below is applied.

### Reproduction steps

1. Open the table example ([stackblitz link](https://stackblitz.com/~/github.com/DerTimonius/react-compiler-tanstack-table-repro)).
2. Remove the unreachable return statement from the Pagination component.
3. Observe that the pagination buttons stop updating correctly.
4. Add back the unreachable return, or add ""use no memo"" at the top of the component.
5. Observe that the issue disappears.

### Workarounds

There are two workarounds:

- add an unreachable return that references the Table instance somehow
  - for example, duplicating the existing return statement is enough
- add ""use no memo"" at the top of the component

### Notes

The Pagination component is shown as being auto-memoized by the React Compiler.


### How often does this bug happen?

Every time

### What version of React are you using?

19.2.5

### What version of React Compiler are you using?

1.0.0",closed,2026-04-23T15:20:16Z,2026-05-03T08:41:50Z,6,2132
36329,[Compiler Bug]: do not remove comments during compilation,"### What kind of issue is this?

- [x] React Compiler core (the JS output is incorrect, or your app works incorrectly after optimization)
- [ ] babel-plugin-react-compiler (build issue installing or using the Babel plugin)
- [ ] eslint-plugin-react-hooks (build issue installing or using the eslint plugin)
- [ ] react-compiler-healthcheck (build issue installing or using the healthcheck script)

### Link to repro

https://playground.react.dev/#N4Igzg9grgTgxgUxALhAgHgBwjALgAgBMEAzAQygBsCSoA7OXASwjvwFkBPAQU0wAoAlPmAAdNvjiswBANoyyuBABp8YBLgDKuRQgC6+ALz4o67bqHj8+APQAqfEzoK6AIyr47Nq-hgbYbAA8hEwAbgB8wApKAL6BNiERANziMeIgyiBSdCRMAOYoIGISNjZSALaYTJSKLHTsEMTI+KIgZJSUrakZ4AAWEADuAJJ0SjB07WAo5JTqMUA

### Repro steps

From https://github.com/facebook/react/issues/32950#issuecomment-4011608396 and the updated playground link, we can see that comments are being removed by the compiler. 

In this case the comment is used by other tools to affect their behaviour so should not be removed by the react-compiler, especially since it's encouraged to put the `babel-plugin-react-compiler` as the first babel plugin (i.e. run before all others).

### How often does this bug happen?

Every time

### What version of React are you using?

Any

### What version of React Compiler are you using?

1.0.0",closed,2026-04-22T18:37:51Z,2026-04-22T19:43:48Z,1,1290
36302,Bug: `component-hook-factories` missing in eprh 7.1.0.,"React version: Latest

## Steps To Reproduce

1. Install latest version of eprh.
2. It breaks.

## The current behavior
(With Oxlint): Rule 'component-hook-factories' not found in plugin 'react-hooks-js'

## The expected behavior
It doesn't break, or the breaking change should be called out in the changelog!

cc @mofeiZ",closed,2026-04-17T08:15:53Z,2026-04-17T18:08:30Z,4,321
36279,[Compiler Bug]: `environment.validateNoSetStateInRender` doesn't throw an error for wrong case,"### What kind of issue is this?

- [x] React Compiler core (the JS output is incorrect, or your app works incorrectly after optimization)
- [ ] babel-plugin-react-compiler (build issue installing or using the Babel plugin)
- [ ] eslint-plugin-react-hooks (build issue installing or using the eslint plugin)
- [ ] react-compiler-healthcheck (build issue installing or using the healthcheck script)

### Link to repro

https://playground.react.dev/#N4Igzg9grgTgxgUxALhASwLYAcIwC4AEwBUYCAyngIZ4IEC+BAZjBBgQOQwJVx4cBuADoA7UUygi+aCCIIAxNABsEAFW4IAFAEoioggTiywhYrzxoAbggAiEOADkqGOowC8JMnbhQXIvADCsrQAHng6wnKGxoQA2ljclgCC0tbeTi4ANARkeAAKiSkWafYZCAC6BB6kFNS0muZWtqXOCNqR+gRoTAQNqc2OrQQAhG4eCQjJ-emtusCdBrkFk0VNMy59xQNl7Z30op3ceLByADwAJlYEAPQAfKL7IiCZIEYiTGgA5igg81FCIAQIksaFYIj8eAByD0YhAlioSjQ5xoCAcEHICDwlBRAEkRAAlIHnBAwKEEPAwKAIPYPZ7gAAWEAA7njaDARAiwCgmJyEPQgA

### Repro steps

Replace `if (activeDocName !== prevActiveDocName) {` with `if (true) {` and you will receive

```
Found 1 error:

Error: Cannot call setState during render

Calling setState during render may trigger an infinite loop.
* To reset state when other state/props change, store the previous value in state and update conditionally: https://react.dev/reference/react/useState#storing-information-from-previous-renders
* To derive data from other state/props, compute the derived data during render without using state.

   6 |
   7 |   if (true) {
>  8 |     setPrevActiveDocName(activeDocName);
     |     ^^^^^^^^^^^^^^^^^^^^ Found setState() in render
   9 |   }
  10 |
  11 |   return <div />
```

I expected to receive the same error when using the condition `if (activeDocName !== prevActiveDocName) {`.

cc @sleitor tagging you if it something that you want to fix based on your previous amazing contributions 🙏

### How often does this bug happen?

Every time

### What version of React are you using?

latest

### What version of React Compiler are you using?

latest",closed,2026-04-15T18:16:18Z,2026-04-15T19:52:40Z,2,1942
36251,bb-test-blank-issue-bypass-target-react,H1 research,closed,2026-04-11T02:22:29Z,2026-04-11T02:23:19Z,0,11
36232,"[Compiler Bug]: custom hook, result of which interacts with previously calculated value, disables compilation.","### What kind of issue is this?

- [x] React Compiler core (the JS output is incorrect, or your app works incorrectly after optimization)
- [ ] babel-plugin-react-compiler (build issue installing or using the Babel plugin)
- [ ] eslint-plugin-react-hooks (build issue installing or using the eslint plugin)
- [ ] react-compiler-healthcheck (build issue installing or using the healthcheck script)

### Link to repro

https://playground.react.dev/#N4Igzg9grgTgxgUxALhASwLYAcIwC4AEwBcMCAhnggMIQB2VAHngDQFRg31OvucCyCDBAIBfAgDMYEDAQA6IMuTh4FAbjl1NEqHRVp6JcgBs4UY5QQBlPJTAAKXABMEMMMnZ0A1nQgB3OgBtAF0ASiJNOTwyPFg6AmdXMAA6YwQ6AHM8AAsNOlFIugRGHHwSejBCADkoDAAjVwAxXAxKWgZiwgBeEiUqdp57Ir8CAEkGY2Sa+qaWyntQ0LztXX1DDgRphphmmFa8BYitaIRYmHiNgc77Ldm9tu5Opc0CrToAeneCACFyJwIALRGUzmSw2OwEXyEDBCCBoABeCCcmmKpUIOj0eAM8QA8kV7MREm4xB5CTAXG4PLofP4gsExOFgJE8HAKoQwLUCD17IcugA+I5RKIxOLAswWKjgvAOIlgZ7HUShBbLY6suiVAhYGBoRC3HZzbp8Ta1ba7fbKwrC06igA8-AAnjioHgsM6CE5KOQusAtTrjTN9fc8MkJAb7ByMKFxO8+XlXppPgQMhAIP8gXATOKwbZpQQ0GACDDhAikSiSrh0assYYACp+CAEhLkpIkohNinuTw0gIhBmCllsggRrkEHnhfn9q1neIZkES6w5mXNtzyqKKi1vKJqjW+3Umu77EcbPVm+ar44i84EO2O52uwge2zeiPR2MvQqJ5OpwFi0GSxd5gWRYQPCaClkU5ZlBiazxDW2RkAgjayq2ZIdlS3i+D29KKv227spyPQbIIwhjlyApMscU6irOWb-nYjjLnKyx4KIbCBLKYQqlug67v6poGkenAnmG55UVeN5Oi6bqPl6PranuAansGoZBuGtRRgQMZxpoIAsCAaoSGgGQoCAFEEJp7ystgaASti-CpggHgKCYxgKC8ungNk-jjFQ5wmGAKASP5CCiEAA

### Repro steps

I'm sorry for a wishy-washy title. I'm struggling to describe in words what exactly are the conditions I've hit here.

This might be a duplicate of https://github.com/facebook/react/issues/33050 or https://github.com/facebook/react/issues/31631, but I'm not certain.

Note:
Desired memoization seems to be easily restorable with manual `useMemo` call.

Given that, I think this is a bug in compiler, but I would be completely okay with this being something that compiler just cannot handle, and that requires manual intervention via `useMemo`, if react compiler _told_ me that it didn't work. But it does not! Far more serious issue in my opinion is that  despite 
```
plugins: [[""babel-plugin-react-compiler"", { panicThreshold: ""all_errors"" }]]
```
The only way for me to notice that original (`One`) code didn't memoize is by randomly pasting the code into the playground. 

Is there a way to get even more panics, to indicate when compiler gives up?



### How often does this bug happen?

Every time

### What version of React are you using?

19.2.4

### What version of React Compiler are you using?

1.0.0",closed,2026-04-08T09:49:54Z,2026-04-08T18:14:55Z,2,2495
36226,"nevidimka,qwe","<!--
  Please provide a clear and concise description of what the bug is. Include
  screenshots if needed. Please test using the latest version of the relevant
  React packages to make sure your issue has not already been fixed.
-->

React version:

## Steps To Reproduce

1.
2.

<!--
  Your bug will get fixed much faster if we can run your code and it doesn't
  have dependencies other than React. Issues without reproduction steps or
  code examples may be immediately closed as not actionable.
-->

Link to code example:

<!--
  Please provide a CodeSandbox (https://codesandbox.io/s/new), a link to a
  repository on GitHub, or provide a minimal code example that reproduces the
  problem. You may provide a screenshot of the application if you think it is
  relevant to your bug report. Here are some tips for providing a minimal
  example: https://stackoverflow.com/help/mcve.
-->

## The current behavior


## The expected behavior
",closed,2026-04-07T12:43:16Z,2026-04-08T18:25:59Z,0,940
36211,Bug:,"<!--
  Please provide a clear and concise description of what the bug is. Include
  screenshots if needed. Please test using the latest version of the relevant
  React packages to make sure your issue has not already been fixed.
-->

React version:

## Steps To Reproduce

1.
2.

<!--
  Your bug will get fixed much faster if we can run your code and it doesn't
  have dependencies other than React. Issues without reproduction steps or
  code examples may be immediately closed as not actionable.
-->

Link to code example:

<!--
  Please provide a CodeSandbox (https://codesandbox.io/s/new), a link to a
  repository on GitHub, or provide a minimal code example that reproduces the
  problem. You may provide a screenshot of the application if you think it is
  relevant to your bug report. Here are some tips for providing a minimal
  example: https://stackoverflow.com/help/mcve.
-->

## The current behavior


## The expected behavior
",closed,2026-04-04T18:11:12Z,2026-04-08T18:25:38Z,0,940
